# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-04-27          569733              99                  02                  000013            000081            000068
000001         2020-04-28          569733              100                 01                  000013            000082            000069
000002         2020-04-29          569733              102                 02                  000013            000083            000070
000003         2020-04-30          569733              102                 00                  000013            000083            000070
000004         2020-05-01          569733              104                 02                  000013            000084            000071
000005         2020-05-02          569733              106                 02                  000013            000085            000072
000006         2020-05-03          569733              108                 02                  000013            000085            000072
000007         2020-05-04          569733              108                 00                  000013            000085            000072
000008         2020-05-05          569733              110                 02                  000013            000089            000076
000009         2020-05-06          569733              110                 00                  000014            000090            000076
000010         2020-05-07          569733              110                 00                  000014            000091            000077
000011         2020-05-08          569733              112                 02                  000014            000092            000078
000012         2020-05-09          569733              112                 00                  000014            000102            000088
000013         2020-05-10          569733              112                 00                  000014            000102            000088
