#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               566730.0                           284.0                             2629.0                             90.0                          2913.0                     569733.0000                        569733.0                            19.2
        1.00                               566697.2                           272.2                             2660.0                            103.5                          2932.2                     569733.0000                        569732.9                            21.6
        2.00                               566665.6                           263.9                             2689.8                            113.5                          2953.8                     569733.0000                        569732.9                            23.3
        3.00                               566634.9                           258.2                             2718.9                            120.8                          2977.1                     569733.0000                        569732.8                            24.7
        4.00                               566604.8                           254.4                             2747.4                            126.3                          3001.8                     569733.0000                        569732.8                            25.6
        5.00                               566575.0                           251.9                             2775.6                            130.4                          3027.4                     569733.0000                        569732.8                            26.4
        6.00                               566545.6                           250.3                             2803.5                            133.5                          3053.8                     569733.0000                        569732.8                            26.9
        7.00                               566516.2                           249.4                             2831.2                            135.9                          3080.7                     569733.0000                        569732.8                            27.4
        8.00                               566486.9                           249.1                             2858.9                            137.8                          3108.0                     569733.0000                        569732.8                            27.7
        9.00                               566457.6                           249.1                             2886.6                            139.3                          3135.7                     569733.0000                        569732.8                            28.0
       10.00                               566428.4                           249.4                             2914.3                            140.6                          3163.7                     569733.0000                        569732.7                            28.2
       11.00                               566399.1                           249.9                             2942.1                            141.7                          3192.0                     569733.0000                        569732.7                            28.4
       12.00                               566369.7                           250.5                             2969.9                            142.6                          3220.4                     569733.0000                        569732.7                            28.6
       13.00                               566340.2                           251.2                             2997.8                            143.4                          3249.0                     569733.0000                        569732.6                            28.8
       14.00                               566310.6                           252.0                             3025.7                            144.2                          3277.7                     569733.0000                        569732.5                            28.9
       15.00                               566281.1                           252.9                             3053.8                            144.9                          3306.6                     569733.0000                        569732.6                            29.0
       16.00                               566251.4                           253.8                             3081.9                            145.6                          3335.7                     569733.0000                        569732.6                            29.2
       17.00                               566221.6                           254.7                             3110.2                            146.2                          3364.9                     569733.0000                        569732.6                            29.3
       18.00                               566191.6                           255.7                             3138.5                            146.8                          3394.2                     569733.0000                        569732.6                            29.4
       19.00                               566161.6                           256.6                             3167.0                            147.4                          3423.6                     569733.0000                        569732.6                            29.5
       20.00                               566131.4                           257.6                             3195.5                            148.0                          3453.1                     569733.0000                        569732.6                            29.7
       21.00                               566101.1                           258.6                             3224.2                            148.6                          3482.8                     569733.0000                        569732.5                            29.8
       22.00                               566070.7                           259.6                             3253.0                            149.2                          3512.6                     569733.0000                        569732.5                            29.9
       23.00                               566040.2                           260.6                             3281.9                            149.8                          3542.5                     569733.0000                        569732.5                            30.0
       24.00                               566009.6                           261.6                             3310.9                            150.4                          3572.5                     569733.0000                        569732.6                            30.1
       25.00                               565978.9                           262.6                             3340.0                            151.0                          3602.7                     569733.0000                        569732.6                            30.3
       26.00                               565948.1                           263.6                             3369.3                            151.6                          3632.9                     569733.0000                        569732.6                            30.4
       27.00                               565917.2                           264.7                             3398.6                            152.2                          3663.3                     569733.0000                        569732.7                            30.5
       28.00                               565886.1                           265.7                             3428.1                            152.8                          3693.8                     569733.0000                        569732.6                            30.6
       29.00                               565854.9                           266.7                             3457.7                            153.3                          3724.4                     569733.0000                        569732.7                            30.7
       30.00                               565823.6                           267.8                             3487.4                            153.9                          3755.1                     569733.0000                        569732.7                            30.8
       31.00                               565792.2                           268.8                             3517.2                            154.5                          3786.0                     569733.0000                        569732.7                            31.0
