#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               569335.0                           113.0                              142.0                            143.0                           255.0                     569733.0000                        569733.0                            27.4
        1.00                               569321.4                           127.1                              155.2                            129.2                           282.4                     569733.0000                        569733.0                            25.0
        2.00                               569306.4                           137.5                              169.9                            119.2                           307.4                     569733.0000                        569733.0                            23.2
        3.00                               569290.3                           145.0                              185.5                            112.1                           330.6                     569733.0000                        569732.9                            22.0
        4.00                               569273.5                           150.6                              201.9                            106.9                           352.5                     569733.0000                        569732.9                            21.1
        5.00                               569256.1                           154.7                              218.9                            103.2                           373.6                     569733.0000                        569732.9                            20.4
        6.00                               569238.3                           157.8                              236.2                            100.6                           394.0                     569733.0000                        569732.9                            20.0
        7.00                               569220.2                           160.1                              253.8                             98.7                           414.0                     569733.0000                        569732.9                            19.6
        8.00                               569201.9                           161.9                              271.7                             97.4                           433.6                     569733.0000                        569732.9                            19.4
        9.00                               569183.4                           163.2                              289.8                             96.5                           453.0                     569733.0000                        569732.8                            19.2
       10.00                               569164.7                           164.3                              308.0                             95.9                           472.2                     569733.0000                        569732.8                            19.1
       11.00                               569145.9                           165.1                              326.3                             95.5                           491.4                     569733.0000                        569732.8                            19.1
       12.00                               569127.1                           165.8                              344.6                             95.3                           510.5                     569733.0000                        569732.8                            19.0
       13.00                               569108.2                           166.4                              363.1                             95.1                           529.5                     569733.0000                        569732.9                            19.0
       14.00                               569089.1                           166.9                              381.6                             95.1                           548.5                     569733.0000                        569732.8                            19.0
       15.00                               569070.1                           167.4                              400.2                             95.1                           567.6                     569733.0000                        569732.8                            19.0
       16.00                               569051.1                           167.8                              418.8                             95.2                           586.6                     569733.0000                        569732.8                            19.0
       17.00                               569031.9                           168.2                              437.5                             95.2                           605.6                     569733.0000                        569732.8                            19.1
       18.00                               569012.8                           168.5                              456.2                             95.3                           624.7                     569733.0000                        569732.8                            19.1
       19.00                               568993.6                           168.8                              474.9                             95.5                           643.8                     569733.0000                        569732.8                            19.1
       20.00                               568974.3                           169.2                              493.7                             95.6                           662.9                     569733.0000                        569732.8                            19.1
       21.00                               568955.1                           169.5                              512.5                             95.7                           682.0                     569733.0000                        569732.8                            19.2
       22.00                               568935.8                           169.8                              531.4                             95.9                           701.2                     569733.0000                        569732.8                            19.2
       23.00                               568916.4                           170.1                              550.2                             96.0                           720.4                     569733.0000                        569732.8                            19.2
       24.00                               568896.9                           170.4                              569.2                             96.2                           739.6                     569733.0000                        569732.8                            19.3
       25.00                               568877.5                           170.7                              588.1                             96.4                           758.8                     569733.0000                        569732.8                            19.3
       26.00                               568858.1                           171.0                              607.1                             96.5                           778.1                     569733.0000                        569732.8                            19.3
       27.00                               568838.6                           171.3                              626.1                             96.7                           797.5                     569733.0000                        569732.7                            19.4
       28.00                               568819.1                           171.6                              645.2                             96.9                           816.8                     569733.0000                        569732.8                            19.4
       29.00                               568799.5                           171.9                              664.3                             97.0                           836.2                     569733.0000                        569732.7                            19.4
       30.00                               568779.9                           172.2                              683.4                             97.2                           855.6                     569733.0000                        569732.7                            19.5
       31.00                               568760.2                           172.5                              702.5                             97.3                           875.1                     569733.0000                        569732.7                            19.5
       32.00                               568740.5                           172.8                              721.7                             97.5                           894.6                     569733.0000                        569732.6                            19.5
       33.00                               568720.8                           173.1                              740.9                             97.7                           914.1                     569733.0000                        569732.6                            19.6
       34.00                               568701.1                           173.4                              760.2                             97.8                           933.6                     569733.0000                        569732.6                            19.6
       35.00                               568681.3                           173.7                              779.5                             98.0                           953.2                     569733.0000                        569732.6                            19.6
       36.00                               568661.6                           174.0                              798.8                             98.2                           972.8                     569733.0000                        569732.6                            19.7
       37.00                               568641.8                           174.3                              818.2                             98.3                           992.5                     569733.0000                        569732.6                            19.7
       38.00                               568621.9                           174.6                              837.5                             98.5                          1012.2                     569733.0000                        569732.6                            19.7
       39.00                               568601.9                           174.9                              857.0                             98.7                          1031.9                     569733.0000                        569732.5                            19.8
       40.00                               568582.0                           175.2                              876.4                             98.8                          1051.6                     569733.0000                        569732.6                            19.8
       41.00                               568562.1                           175.5                              895.9                             99.0                          1071.4                     569733.0000                        569732.4                            19.8
       42.00                               568542.1                           175.8                              915.4                             99.2                          1091.2                     569733.0000                        569732.5                            19.9
       43.00                               568522.1                           176.1                              935.0                             99.3                          1111.1                     569733.0000                        569732.6                            19.9
       44.00                               568502.0                           176.4                              954.6                             99.5                          1131.0                     569733.0000                        569732.5                            19.9
       45.00                               568481.9                           176.7                              974.2                             99.7                          1150.9                     569733.0000                        569732.5                            20.0
       46.00                               568461.7                           177.0                              993.8                             99.8                          1170.9                     569733.0000                        569732.4                            20.0
       47.00                               568441.5                           177.3                             1013.5                            100.0                          1190.8                     569733.0000                        569732.3                            20.0
       48.00                               568421.3                           177.6                             1033.2                            100.2                          1210.9                     569733.0000                        569732.4                            20.1
       49.00                               568401.1                           177.9                             1053.0                            100.3                          1230.9                     569733.0000                        569732.4                            20.1
       50.00                               568380.8                           178.2                             1072.8                            100.5                          1251.0                     569733.0000                        569732.3                            20.1
       51.00                               568360.6                           178.5                             1092.6                            100.7                          1271.1                     569733.0000                        569732.3                            20.2
       52.00                               568340.2                           178.8                             1112.4                            100.8                          1291.3                     569733.0000                        569732.4                            20.2
       53.00                               568319.9                           179.1                             1132.3                            101.0                          1311.5                     569733.0000                        569732.3                            20.2
       54.00                               568299.4                           179.4                             1152.2                            101.2                          1331.7                     569733.0000                        569732.3                            20.3
       55.00                               568279.0                           179.7                             1172.2                            101.3                          1351.9                     569733.0000                        569732.3                            20.3
       56.00                               568258.6                           180.0                             1192.2                            101.5                          1372.2                     569733.0000                        569732.2                            20.3
       57.00                               568238.1                           180.3                             1212.2                            101.7                          1392.5                     569733.0000                        569732.2                            20.4
       58.00                               568217.6                           180.6                             1232.3                            101.8                          1412.9                     569733.0000                        569732.3                            20.4
       59.00                               568197.0                           180.9                             1252.3                            102.0                          1433.3                     569733.0000                        569732.3                            20.4
       60.00                               568176.4                           181.2                             1272.5                            102.2                          1453.7                     569733.0000                        569732.2                            20.5
       61.00                               568155.7                           181.5                             1292.6                            102.3                          1474.1                     569733.0000                        569732.2                            20.5
       62.00                               568135.0                           181.8                             1312.8                            102.5                          1494.6                     569733.0000                        569732.1                            20.5
       63.00                               568114.3                           182.1                             1333.0                            102.7                          1515.1                     569733.0000                        569732.1                            20.6
       64.00                               568093.6                           182.4                             1353.3                            102.8                          1535.7                     569733.0000                        569732.1                            20.6
       65.00                               568072.8                           182.7                             1373.6                            103.0                          1556.3                     569733.0000                        569732.1                            20.6
       66.00                               568052.1                           183.0                             1393.9                            103.2                          1576.9                     569733.0000                        569732.1                            20.7
       67.00                               568031.2                           183.3                             1414.2                            103.3                          1597.6                     569733.0000                        569732.2                            20.7
       68.00                               568010.4                           183.6                             1434.6                            103.5                          1618.2                     569733.0000                        569732.1                            20.7
       69.00                               567989.4                           183.9                             1455.0                            103.7                          1639.0                     569733.0000                        569732.1                            20.8
       70.00                               567968.5                           184.2                             1475.5                            103.8                          1659.7                     569733.0000                        569732.1                            20.8
       71.00                               567947.6                           184.5                             1496.0                            104.0                          1680.5                     569733.0000                        569732.1                            20.8
       72.00                               567926.6                           184.8                             1516.5                            104.2                          1701.3                     569733.0000                        569732.1                            20.9
       73.00                               567905.6                           185.1                             1537.0                            104.3                          1722.2                     569733.0000                        569732.1                            20.9
       74.00                               567884.5                           185.4                             1557.6                            104.5                          1743.1                     569733.0000                        569732.1                            20.9
       75.00                               567863.4                           185.7                             1578.3                            104.7                          1764.0                     569733.0000                        569732.1                            21.0
       76.00                               567842.2                           186.0                             1598.9                            104.8                          1784.9                     569733.0000                        569731.9                            21.0
       77.00                               567821.0                           186.3                             1619.6                            105.0                          1805.9                     569733.0000                        569731.9                            21.0
       78.00                               567799.8                           186.6                             1640.3                            105.2                          1826.9                     569733.0000                        569731.9                            21.1
       79.00                               567778.6                           186.9                             1661.1                            105.3                          1848.0                     569733.0000                        569731.9                            21.1
       80.00                               567757.3                           187.2                             1681.9                            105.5                          1869.1                     569733.0000                        569731.9                            21.1
       81.00                               567736.1                           187.5                             1702.7                            105.7                          1890.2                     569733.0000                        569731.9                            21.2
       82.00                               567714.8                           187.8                             1723.5                            105.8                          1911.4                     569733.0000                        569731.9                            21.2
       83.00                               567693.4                           188.1                             1744.4                            106.0                          1932.5                     569733.0000                        569731.9                            21.2
       84.00                               567671.9                           188.4                             1765.3                            106.2                          1953.8                     569733.0000                        569731.9                            21.3
       85.00                               567650.5                           188.7                             1786.3                            106.3                          1975.0                     569733.0000                        569731.9                            21.3
       86.00                               567629.1                           189.0                             1807.3                            106.5                          1996.3                     569733.0000                        569731.8                            21.3
       87.00                               567607.6                           189.3                             1828.3                            106.7                          2017.6                     569733.0000                        569731.9                            21.4
       88.00                               567586.1                           189.6                             1849.3                            106.8                          2039.0                     569733.0000                        569731.9                            21.4
       89.00                               567564.5                           189.9                             1870.4                            107.0                          2060.4                     569733.0000                        569731.9                            21.4
       90.00                               567542.9                           190.2                             1891.5                            107.2                          2081.8                     569733.0000                        569731.9                            21.5
       91.00                               567521.2                           190.5                             1912.7                            107.3                          2103.2                     569733.0000                        569731.8                            21.5
       92.00                               567499.5                           190.8                             1933.9                            107.5                          2124.7                     569733.0000                        569731.7                            21.5
       93.00                               567477.8                           191.1                             1955.1                            107.7                          2146.2                     569733.0000                        569731.8                            21.6
       94.00                               567456.1                           191.4                             1976.4                            107.8                          2167.8                     569733.0000                        569731.8                            21.6
       95.00                               567434.3                           191.7                             1997.6                            108.0                          2189.4                     569733.0000                        569731.7                            21.6
       96.00                               567412.6                           192.0                             2019.0                            108.2                          2211.0                     569733.0000                        569731.7                            21.7
       97.00                               567390.8                           192.3                             2040.3                            108.3                          2232.6                     569733.0000                        569731.8                            21.7
       98.00                               567368.9                           192.6                             2061.7                            108.5                          2254.3                     569733.0000                        569731.7                            21.7
       99.00                               567346.9                           192.9                             2083.1                            108.7                          2276.0                     569733.0000                        569731.7                            21.8
      100.00                               567325.0                           193.2                             2104.6                            108.8                          2297.8                     569733.0000                        569731.6                            21.8
      101.00                               567303.1                           193.5                             2126.1                            109.0                          2319.6                     569733.0000                        569731.6                            21.8
      102.00                               567281.1                           193.8                             2147.6                            109.2                          2341.4                     569733.0000                        569731.6                            21.9
      103.00                               567259.1                           194.1                             2169.1                            109.3                          2363.3                     569733.0000                        569731.6                            21.9
      104.00                               567237.0                           194.4                             2190.7                            109.5                          2385.1                     569733.0000                        569731.7                            21.9
      105.00                               567214.9                           194.7                             2212.3                            109.7                          2407.1                     569733.0000                        569731.6                            22.0
      106.00                               567192.7                           195.0                             2234.0                            109.8                          2429.0                     569733.0000                        569731.5                            22.0
      107.00                               567170.5                           195.3                             2255.7                            110.0                          2451.0                     569733.0000                        569731.5                            22.0
      108.00                               567148.3                           195.6                             2277.4                            110.2                          2473.0                     569733.0000                        569731.5                            22.0
      109.00                               567126.1                           195.9                             2299.1                            110.3                          2495.1                     569733.0000                        569731.4                            22.1
