# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-07-27          569733              2913                51                  000111            002629            002518
000001         2020-07-28          569733              2946                33                  000112            002698            002586
000002         2020-07-29          569733              3037                91                  000112            002738            002626
000003         2020-07-30          569733              3136                99                  000115            002909            002794
000004         2020-07-31          569733              3199                63                  000118            002997            002879
000005         2020-08-01          569733              3304                105                 000120            003020            002900
000006         2020-08-02          569733              3341                37                  000121            003116            002995
000007         2020-08-03          569733              3402                61                  000122            003146            003024
000008         2020-08-04          569733              3480                78                  000124            003202            003078
000009         2020-08-05          569733              3535                55                  000126            003276            003150
000010         2020-08-06          569733              3566                31                  000128            003287            003159
000011         2020-08-07          569733              3661                95                  000129            003465            003336
000012         2020-08-08          569733              3709                48                  000131            003474            003343
000013         2020-08-09          569733              3750                41                  000131            003474            003343
