# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-11-08          569733              13002               043                 000327            012712            012385
000001         2020-11-09          569733              13035               033                 000329            012836            012507
000002         2020-11-10          569733              13091               056                 000332            012887            012555
000003         2020-11-11          569733              13169               078                 000333            012963            012630
000004         2020-11-12          569733              13194               025                 000335            012987            012652
000005         2020-11-13          569733              13294               100                 000337            013114            012777
000006         2020-11-14          569733              13354               060                 000337            013114            012777
000007         2020-11-15          569733              13438               084                 000338            013130            012792
000008         2020-11-16          569733              13480               042                 000339            013300            012961
000009         2020-11-17          569733              13603               123                 000340            013364            013024
000010         2020-11-18          569733              13659               056                 000341            013437            013096
000011         2020-11-19          569733              13796               137                 000342            013599            013257
000012         2020-11-20          569733              13980               184                 000342            013700            013358
000013         2020-11-21          569733              14105               125                 000344            013703            013359
