#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               568286.0                           213.0                             1133.0                            101.0                          1346.0                     569733.0000                        569733.0                            21.8
        1.00                               568247.4                           211.1                             1156.6                            117.9                          1367.8                     569733.0000                        569733.0                            24.9
        2.00                               568208.8                           212.4                             1180.2                            131.5                          1392.6                     569733.0000                        569733.0                            27.4
        3.00                               568169.9                           215.9                             1204.1                            143.1                          1420.0                     569733.0000                        569732.9                            29.6
        4.00                               568130.1                           221.2                             1228.4                            153.2                          1449.6                     569733.0000                        569732.9                            31.5
        5.00                               568089.3                           227.8                             1253.4                            162.5                          1481.1                     569733.0000                        569732.9                            33.4
        6.00                               568047.2                           235.4                             1279.1                            171.2                          1514.5                     569733.0000                        569732.9                            35.1
        7.00                               568003.6                           243.8                             1305.7                            179.6                          1549.6                     569733.0000                        569732.8                            36.8
        8.00                               567958.5                           253.0                             1333.4                            187.9                          1586.3                     569733.0000                        569732.8                            38.4
        9.00                               567911.7                           262.7                             1362.0                            196.3                          1624.8                     569733.0000                        569732.8                            40.1
       10.00                               567863.1                           273.1                             1391.8                            204.8                          1664.9                     569733.0000                        569732.8                            41.8
       11.00                               567812.5                           284.0                             1422.8                            213.5                          1706.7                     569733.0000                        569732.7                            43.6
       12.00                               567759.9                           295.4                             1455.0                            222.5                          1750.3                     569733.0000                        569732.7                            45.4
       13.00                               567705.1                           307.3                             1488.5                            231.7                          1795.8                     569733.0000                        569732.6                            47.3
       14.00                               567648.2                           319.8                             1523.3                            241.3                          1843.1                     569733.0000                        569732.5                            49.3
       15.00                               567588.9                           332.8                             1559.6                            251.2                          1892.4                     569733.0000                        569732.4                            51.3
       16.00                               567527.3                           346.3                             1597.3                            261.5                          1943.6                     569733.0000                        569732.4                            53.4
       17.00                               567463.2                           360.4                             1636.6                            272.2                          1997.0                     569733.0000                        569732.5                            55.6
       18.00                               567396.6                           375.1                             1677.5                            283.3                          2052.6                     569733.0000                        569732.5                            57.8
       19.00                               567327.1                           390.4                             1720.0                            294.9                          2110.4                     569733.0000                        569732.5                            60.2
       20.00                               567254.9                           406.3                             1764.3                            306.9                          2170.6                     569733.0000                        569732.4                            62.7
       21.00                               567179.7                           422.9                             1810.4                            319.4                          2233.3                     569733.0000                        569732.4                            65.2
       22.00                               567101.4                           440.1                             1858.4                            332.4                          2298.5                     569733.0000                        569732.3                            67.9
       23.00                               567020.0                           458.1                             1908.3                            345.9                          2366.4                     569733.0000                        569732.3                            70.6
       24.00                               566935.2                           476.7                             1960.2                            360.0                          2437.0                     569733.0000                        569732.2                            73.5
       25.00                               566847.1                           496.2                             2014.3                            374.6                          2510.5                     569733.0000                        569732.2                            76.5
       26.00                               566755.3                           516.4                             2070.6                            389.9                          2587.0                     569733.0000                        569732.2                            79.6
       27.00                               566659.9                           537.4                             2129.2                            405.7                          2666.5                     569733.0000                        569732.1                            82.8
       28.00                               566560.6                           559.3                             2190.1                            422.2                          2749.4                     569733.0000                        569732.1                            86.2
       29.00                               566457.2                           582.0                             2253.5                            439.3                          2835.5                     569733.0000                        569732.1                            89.7
       30.00                               566349.7                           605.7                             2319.5                            457.1                          2925.2                     569733.0000                        569732.1                            93.3
       31.00                               566237.8                           630.3                             2388.2                            475.6                          3018.5                     569733.0000                        569732.0                            97.1
       32.00                               566121.4                           655.9                             2459.7                            494.9                          3115.6                     569733.0000                        569731.9                           101.0
       33.00                               566000.3                           682.5                             2534.1                            514.9                          3216.6                     569733.0000                        569731.9                           105.1
       34.00                               565874.4                           710.2                             2611.5                            535.8                          3321.8                     569733.0000                        569731.9                           109.4
       35.00                               565743.3                           739.0                             2692.1                            557.4                          3431.1                     569733.0000                        569731.9                           113.8
       36.00                               565606.9                           769.0                             2775.9                            580.0                          3544.9                     569733.0000                        569731.8                           118.4
       37.00                               565465.1                           800.2                             2863.1                            603.4                          3663.3                     569733.0000                        569731.8                           123.2
       38.00                               565317.6                           832.6                             2953.8                            627.7                          3786.4                     569733.0000                        569731.8                           128.1
       39.00                               565164.2                           866.3                             3048.3                            653.0                          3914.6                     569733.0000                        569731.8                           133.3
       40.00                               565004.6                           901.4                             3146.5                            679.4                          4047.9                     569733.0000                        569731.8                           138.7
       41.00                               564838.6                           937.8                             3248.7                            706.7                          4186.5                     569733.0000                        569731.8                           144.2
       42.00                               564665.9                           975.7                             3355.1                            735.1                          4330.8                     569733.0000                        569731.8                           150.0
       43.00                               564486.2                          1015.1                             3465.7                            764.7                          4480.8                     569733.0000                        569731.7                           156.1
       44.00                               564299.5                          1056.1                             3580.8                            795.4                          4636.9                     569733.0000                        569731.8                           162.3
       45.00                               564105.2                          1098.6                             3700.6                            827.3                          4799.2                     569733.0000                        569731.7                           168.8
       46.00                               563903.1                          1142.9                             3825.2                            860.5                          4968.0                     569733.0000                        569731.6                           175.6
       47.00                               563693.1                          1188.9                             3954.7                            894.9                          5143.7                     569733.0000                        569731.7                           182.6
       48.00                               563474.6                          1236.7                             4089.6                            930.7                          5326.3                     569733.0000                        569731.7                           189.9
       49.00                               563247.4                          1286.4                             4229.8                            967.9                          5516.2                     569733.0000                        569731.6                           197.5
       50.00                               563011.2                          1338.1                             4375.7                           1006.5                          5713.8                     569733.0000                        569731.6                           205.4
       51.00                               562765.7                          1391.8                             4527.4                           1046.7                          5919.2                     569733.0000                        569731.5                           213.6
       52.00                               562510.4                          1447.6                             4685.2                           1088.3                          6132.7                     569733.0000                        569731.5                           222.1
       53.00                               562245.0                          1505.5                             4849.3                           1131.6                          6354.8                     569733.0000                        569731.4                           230.9
       54.00                               561969.2                          1565.7                             5020.0                           1176.6                          6585.7                     569733.0000                        569731.5                           240.1
       55.00                               561682.4                          1628.3                             5197.5                           1223.2                          6825.8                     569733.0000                        569731.4                           249.6
       56.00                               561384.4                          1693.3                             5382.1                           1271.7                          7075.4                     569733.0000                        569731.5                           259.5
       57.00                               561074.7                          1760.8                             5574.1                           1321.9                          7334.8                     569733.0000                        569731.4                           269.7
       58.00                               560752.8                          1830.9                             5773.7                           1374.1                          7604.5                     569733.0000                        569731.4                           280.3
       59.00                               560418.2                          1903.6                             5981.2                           1428.3                          7884.9                     569733.0000                        569731.4                           291.4
       60.00                               560070.8                          1979.2                             6197.0                           1484.5                          8176.3                     569733.0000                        569731.5                           302.8
       61.00                               559709.6                          2057.7                             6421.4                           1542.8                          8479.1                     569733.0000                        569731.5                           314.7
       62.00                               559334.4                          2139.2                             6654.6                           1603.3                          8793.8                     569733.0000                        569731.5                           327.0
       63.00                               558944.6                          2223.8                             6897.1                           1666.0                          9120.9                     569733.0000                        569731.5                           339.8
       64.00                               558539.8                          2311.5                             7149.2                           1731.1                          9460.7                     569733.0000                        569731.6                           353.1
       65.00                               558119.3                          2402.6                             7411.2                           1798.5                          9813.8                     569733.0000                        569731.6                           366.8
       66.00                               557682.6                          2497.1                             7683.5                           1868.5                         10180.6                     569733.0000                        569731.6                           381.1
       67.00                               557229.1                          2595.2                             7966.5                           1940.9                         10561.7                     569733.0000                        569731.7                           395.8
       68.00                               556758.1                          2696.9                             8260.6                           2016.1                         10957.5                     569733.0000                        569731.7                           411.1
       69.00                               556269.2                          2802.4                             8566.2                           2093.9                         11368.7                     569733.0000                        569731.8                           427.0
       70.00                               555761.5                          2911.9                             8883.8                           2174.6                         11795.7                     569733.0000                        569731.8                           443.4
       71.00                               555234.6                          3025.3                             9213.8                           2258.1                         12239.1                     569733.0000                        569731.8                           460.4
       72.00                               554687.7                          3142.9                             9556.6                           2344.6                         12699.5                     569733.0000                        569731.8                           478.0
       73.00                               554120.1                          3264.9                             9912.7                           2434.2                         13177.5                     569733.0000                        569731.9                           496.3
       74.00                               553531.2                          3391.2                            10282.6                           2526.9                         13673.8                     569733.0000                        569731.8                           515.1
       75.00                               552920.1                          3522.1                            10666.8                           2622.8                         14188.9                     569733.0000                        569731.9                           534.7
       76.00                               552286.2                          3657.8                            11065.8                           2722.1                         14723.6                     569733.0000                        569731.9                           554.9
       77.00                               551628.6                          3798.3                            11480.2                           2824.7                         15278.5                     569733.0000                        569731.8                           575.7
       78.00                               550946.7                          3943.8                            11910.4                           2930.9                         15854.2                     569733.0000                        569731.8                           597.3
       79.00                               550239.6                          4094.4                            12357.1                           3040.7                         16451.5                     569733.0000                        569731.7                           619.7
       80.00                               549506.6                          4250.3                            12820.9                           3154.1                         17071.2                     569733.0000                        569731.8                           642.7
       81.00                               548746.6                          4411.7                            13302.3                           3271.3                         17713.9                     569733.0000                        569731.9                           666.6
       82.00                               547959.0                          4578.6                            13801.9                           3392.4                         18380.5                     569733.0000                        569731.9                           691.2
       83.00                               547142.8                          4751.3                            14320.4                           3517.4                         19071.7                     569733.0000                        569731.9                           716.6
       84.00                               546297.2                          4929.9                            14858.4                           3646.4                         19788.3                     569733.0000                        569731.8                           742.8
       85.00                               545421.2                          5114.5                            15416.6                           3779.5                         20531.1                     569733.0000                        569731.8                           769.9
       86.00                               544513.9                          5305.3                            15995.6                           3916.9                         21300.9                     569733.0000                        569731.7                           797.8
       87.00                               543574.6                          5502.4                            16596.3                           4058.5                         22098.7                     569733.0000                        569731.8                           826.5
       88.00                               542602.1                          5706.1                            17219.1                           4204.5                         22925.2                     569733.0000                        569731.8                           856.2
       89.00                               541595.6                          5916.3                            17865.0                           4354.9                         23781.4                     569733.0000                        569731.9                           886.7
       90.00                               540554.0                          6133.4                            18534.6                           4509.8                         24668.0                     569733.0000                        569731.9                           918.1
       91.00                               539476.4                          6357.4                            19228.8                           4669.2                         25586.2                     569733.0000                        569731.8                           950.5
       92.00                               538361.8                          6588.5                            19948.2                           4833.3                         26536.7                     569733.0000                        569731.9                           983.8
       93.00                               537209.3                          6826.8                            20693.7                           5002.1                         27520.5                     569733.0000                        569731.9                          1018.0
       94.00                               536017.9                          7072.4                            21466.1                           5175.6                         28538.5                     569733.0000                        569732.0                          1053.2
       95.00                               534786.4                          7325.5                            22266.2                           5353.9                         29591.7                     569733.0000                        569732.0                          1089.3
       96.00                               533513.9                          7586.2                            23094.8                           5537.0                         30681.0                     569733.0000                        569731.9                          1126.4
       97.00                               532199.6                          7854.6                            23952.8                           5725.0                         31807.4                     569733.0000                        569732.0                          1164.5
       98.00                               530842.3                          8130.8                            24841.1                           5917.8                         32972.0                     569733.0000                        569732.0                          1203.6
       99.00                               529441.1                          8415.0                            25760.6                           6115.4                         34175.5                     569733.0000                        569732.1                          1243.6
      100.00                               527994.9                          8707.1                            26712.0                           6318.0                         35419.1                     569733.0000                        569732.1                          1284.6
