# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-05-10          569733              112                 00                  000014            000102            000088
000001         2020-05-11          569733              117                 05                  000015            000107            000092
000002         2020-05-12          569733              120                 03                  000015            000107            000092
000003         2020-05-13          569733              122                 02                  000015            000110            000095
000004         2020-05-14          569733              122                 00                  000015            000110            000095
000005         2020-05-15          569733              125                 03                  000015            000113            000098
000006         2020-05-16          569733              126                 01                  000015            000113            000098
000007         2020-05-17          569733              134                 08                  000016            000114            000098
000008         2020-05-18          569733              143                 09                  000016            000114            000098
000009         2020-05-19          569733              162                 19                  000018            000119            000101
000010         2020-05-20          569733              175                 13                  000018            000123            000105
000011         2020-05-21          569733              197                 22                  000019            000131            000112
000012         2020-05-22          569733              226                 29                  000020            000140            000120
000013         2020-05-23          569733              255                 29                  000020            000142            000122
