# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-10-26          569733              12249               024                 000306            012013            011707
000001         2020-10-27          569733              12301               052                 000309            012045            011736
000002         2020-10-28          569733              12324               023                 000310            012135            011825
000003         2020-10-29          569733              12473               149                 000311            012223            011912
000004         2020-10-30          569733              12550               077                 000314            012226            011912
000005         2020-10-31          569733              12595               045                 000315            012227            011912
000006         2020-11-01          569733              12638               043                 000317            012233            011916
000007         2020-11-02          569733              12691               053                 000317            012248            011931
000008         2020-11-03          569733              12730               039                 000320            012507            012187
000009         2020-11-04          569733              12762               032                 000323            012556            012233
000010         2020-11-05          569733              12809               047                 000325            012617            012292
000011         2020-11-06          569733              12885               076                 000325            012684            012359
000012         2020-11-07          569733              12959               074                 000326            012695            012369
000013         2020-11-08          569733              13002               043                 000327            012712            012385
