# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-01-12          569733              24608               208                 000485            024225            023740
000001         2021-01-13          569733              24893               285                 000492            024365            023873
000002         2021-01-14          569733              25134               241                 000496            024722            024226
000003         2021-01-15          569733              25379               245                 000501            025013            024512
000004         2021-01-16          569733              25607               228                 000502            025279            024777
000005         2021-01-17          569733              25905               298                 000505            025463            024958
000006         2021-01-18          569733              26039               134                 000507            025618            025111
000007         2021-01-19          569733              26350               311                 000512            025934            025422
000008         2021-01-20          569733              26755               405                 000517            026233            025716
000009         2021-01-21          569733              27160               405                 000525            026696            026171
000010         2021-01-22          569733              27569               409                 000536            027148            026612
000011         2021-01-23          569733              27896               327                 000540            027428            026888
000012         2021-01-24          569733              28206               310                 000541            027716            027175
000013         2021-01-25          569733              28423               217                 000545            027946            027401
