# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-05-23          569733              255                 29                  000020            000142            000122
000001         2020-05-24          569733              272                 17                  000020            000142            000122
000002         2020-05-25          569733              297                 25                  000020            000152            000132
000003         2020-05-26          569733              312                 15                  000020            000181            000161
000004         2020-05-27          569733              321                 09                  000021            000197            000176
000005         2020-05-28          569733              340                 19                  000021            000204            000183
000006         2020-05-29          569733              366                 26                  000022            000219            000197
000007         2020-05-30          569733              403                 37                  000024            000221            000197
000008         2020-05-31          569733              413                 10                  000024            000221            000197
000009         2020-06-01          569733              435                 22                  000025            000265            000240
000010         2020-06-02          569733              452                 17                  000028            000298            000270
000011         2020-06-03          569733              492                 40                  000030            000325            000295
000012         2020-06-04          569733              511                 19                  000031            000357            000326
000013         2020-06-05          569733              540                 29                  000031            000373            000342
