# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-11-21          569733              14105               125                 000344            013703            013359
000001         2020-11-22          569733              14217               112                 000344            013848            013504
000002         2020-11-23          569733              14271               054                 000347            014006            013659
000003         2020-11-24          569733              14324               053                 000349            014091            013742
000004         2020-11-25          569733              14562               238                 000349            014231            013882
000005         2020-11-26          569733              14699               137                 000349            014374            014025
000006         2020-11-27          569733              14788               089                 000351            014459            014108
000007         2020-11-28          569733              14963               175                 000351            014490            014139
000008         2020-11-29          569733              15041               078                 000351            014713            014362
000009         2020-11-30          569733              15139               098                 000351            014792            014441
000010         2020-12-01          569733              15239               100                 000354            014852            014498
000011         2020-12-02          569733              15417               178                 000358            015032            014674
000012         2020-12-03          569733              15540               123                 000360            015127            014767
000013         2020-12-04          569733              15604               064                 000361            015224            014863
