# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-01-25          569733              28423               217                 000545            027946            027401
000001         2021-01-26          569733              28737               314                 000549            028307            027758
000002         2021-01-27          569733              29352               615                 000557            028876            028319
000003         2021-01-28          569733              29727               375                 000564            029216            028652
000004         2021-01-29          569733              29904               177                 000568            029454            028886
000005         2021-01-30          569733              30234               330                 000569            029860            029291
000006         2021-01-31          569733              30561               327                 000572            030137            029565
000007         2021-02-01          569733              30778               217                 000578            030293            029715
000008         2021-02-02          569733              31081               303                 000583            030556            029973
000009         2021-02-03          569733              31408               327                 000589            030909            030320
000010         2021-02-04          569733              31788               380                 000594            031367            030773
000011         2021-02-05          569733              32042               254                 000599            031663            031064
000012         2021-02-06          569733              32578               536                 000603            032038            031435
000013         2021-02-07          569733              32953               375                 000605            032416            031811
