# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-12-17          569733              18262               252                 000398            017855            017457
000001         2020-12-18          569733              18590               328                 000402            017939            017537
000002         2020-12-19          569733              18738               148                 000404            018264            017860
000003         2020-12-20          569733              18925               187                 000405            018463            018058
000004         2020-12-21          569733              19025               100                 000406            018658            018252
000005         2020-12-22          569733              19399               374                 000408            019009            018601
000006         2020-12-23          569733              19703               304                 000412            019383            018971
000007         2020-12-24          569733              19991               288                 000414            019694            019280
000008         2020-12-25          569733              20234               243                 000416            019826            019410
000009         2020-12-26          569733              20434               200                 000419            020133            019714
000010         2020-12-27          569733              20685               251                 000420            020402            019982
000011         2020-12-28          569733              20892               207                 000425            020620            020195
000012         2020-12-29          569733              21226               334                 000429            020947            020518
000013         2020-12-30          569733              21549               323                 000431            021250            020819
