# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-03-18          569733              42311               273                 000839            041649            040810
000001         2021-03-19          569733              42534               223                 000847            042017            041170
000002         2021-03-20          569733              42807               273                 000855            042226            041371
000003         2021-03-21          569733              43097               290                 000861            042539            041678
000004         2021-03-22          569733              43327               230                 000875            042625            041750
000005         2021-03-23          569733              43605               278                 000885            042950            042065
000006         2021-03-24          569733              43905               300                 000899            043239            042340
000007         2021-03-25          569733              44252               347                 000913            043592            042679
000008         2021-03-26          569733              44508               256                 000927            043812            042885
000009         2021-03-27          569733              44789               281                 000940            044036            043096
000010         2021-03-28          569733              45038               249                 000944            044248            043304
000011         2021-03-29          569733              45294               256                 000956            044429            043473
000012         2021-03-30          569733              45557               263                 000968            044572            043604
000013         2021-03-31          569733              45794               237                 000979            045070            044091
