# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-06-05          569733              540                 29                  000031            000373            000342
000001         2020-06-06          569733              571                 31                  000031            000376            000345
000002         2020-06-07          569733              587                 16                  000031            000376            000345
000003         2020-06-08          569733              597                 10                  000034            000431            000397
000004         2020-06-09          569733              641                 44                  000034            000473            000439
000005         2020-06-10          569733              676                 35                  000034            000496            000462
000006         2020-06-11          569733              723                 47                  000035            000497            000462
000007         2020-06-12          569733              735                 12                  000037            000500            000463
000008         2020-06-13          569733              790                 55                  000040            000553            000513
000009         2020-06-14          569733              795                 05                  000045            000557            000512
000010         2020-06-15          569733              855                 55                  000050            000600            000550
000011         2020-06-16          569733              893                 38                  000051            000628            000577
000012         2020-06-17          569733              915                 22                  000053            000665            000612
000013         2020-06-18          569733              929                 14                  000056            000700            000644
