# CONTADOR                 ERRO
0000000000001              4.743327E+02
0000000000002              4.576167E+02
0000000000003              4.384938E+02
0000000000004              4.179218E+02
0000000000005              3.966091E+02
0000000000006              3.750792E+02
0000000000007              3.537159E+02
0000000000008              3.327962E+02
0000000000009              3.125156E+02
0000000000010              2.930073E+02
0000000000011              2.743560E+02
0000000000012              2.566117E+02
0000000000013              2.397963E+02
0000000000014              2.239123E+02
0000000000015              2.089474E+02
0000000000016              1.948787E+02
0000000000017              1.816756E+02
0000000000018              1.693037E+02
0000000000019              1.577243E+02
0000000000020              1.468979E+02
0000000000021              1.367840E+02
0000000000022              1.273426E+02
0000000000023              1.185339E+02
0000000000024              1.103199E+02
0000000000025              1.026637E+02
0000000000026              9.552975E+01
0000000000027              8.888440E+01
0000000000028              8.269582E+01
0000000000029              7.693371E+01
0000000000030              7.156966E+01
0000000000031              6.657697E+01
0000000000032              6.193044E+01
0000000000033              5.760656E+01
0000000000034              5.358324E+01
0000000000035              4.983982E+01
0000000000036              4.635723E+01
0000000000037              4.311734E+01
0000000000038              4.010339E+01
0000000000039              3.729974E+01
0000000000040              3.469178E+01
0000000000041              3.226587E+01
0000000000042              3.000948E+01
0000000000043              2.791072E+01
0000000000044              2.595864E+01
0000000000045              2.414298E+01
0000000000046              2.245426E+01
0000000000047              2.088355E+01
0000000000048              1.942272E+01
0000000000049              1.806404E+01
0000000000050              1.680037E+01
0000000000051              1.562508E+01
0000000000052              1.453197E+01
0000000000053              1.351534E+01
0000000000054              1.256982E+01
0000000000055              1.169045E+01
0000000000056              1.087258E+01
0000000000057              1.011191E+01
0000000000058              9.404473E+00
0000000000059              8.746525E+00
0000000000060              8.134606E+00
0000000000061              7.565475E+00
0000000000062              7.036181E+00
0000000000063              6.543917E+00
0000000000064              6.086091E+00
0000000000065              5.660294E+00
0000000000066              5.264271E+00
0000000000067              4.895971E+00
0000000000068              4.553437E+00
0000000000069              4.234868E+00
0000000000070              3.938574E+00
0000000000071              3.663021E+00
0000000000072              3.406746E+00
0000000000073              3.168391E+00
0000000000074              2.946723E+00
0000000000075              2.740562E+00
0000000000076              2.548825E+00
0000000000077              2.370503E+00
0000000000078              2.204649E+00
0000000000079              2.050406E+00
0000000000080              1.906953E+00
0000000000081              1.773538E+00
0000000000082              1.649451E+00
0000000000083              1.534051E+00
0000000000084              1.426724E+00
0000000000085              1.326902E+00
0000000000086              1.234069E+00
0000000000087              1.147730E+00
0000000000088              1.067432E+00
0000000000089              9.927476E-01
0000000000090              9.232923E-01
0000000000091              8.586965E-01  ESTADO ESTACIONÁRIO ALCANÇADO
  
A SIMULAÇÃO PREDIZ QUE O NÚMERO DE DIAS DA PANDEMIA SERIA:    94.00 DIAS.
