# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-07-14          569733              2057                131                 000097            001755            001658
000001         2020-07-15          569733              2136                79                  000097            001797            001700
000002         2020-07-16          569733              2244                108                 000098            001846            001748
000003         2020-07-17          569733              2285                41                  000099            001936            001837
000004         2020-07-18          569733              2370                85                  000100            001939            001839
000005         2020-07-19          569733              2403                33                  000101            002022            001921
000006         2020-07-20          569733              2441                38                  000104            002153            002049
000007         2020-07-21          569733              2457                16                  000105            002217            002112
000008         2020-07-22          569733              2583                126                 000107            002326            002219
000009         2020-07-23          569733              2673                90                  000107            002433            002326
000010         2020-07-24          569733              2720                47                  000109            002520            002411
000011         2020-07-25          569733              2819                99                  000111            002522            002411
000012         2020-07-26          569733              2862                43                  000111            002613            002502
000013         2020-07-27          569733              2913                51                  000111            002629            002518
