#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               567444.0                           302.0                             1755.0                            232.0                          2057.0                     569733.0000                        569733.0                            44.0
        1.00                               567426.2                           312.0                             1789.0                            205.7                          2101.0                     569733.0000                        569732.9                            39.2
        2.00                               567408.1                           316.4                             1823.8                            184.6                          2140.2                     569733.0000                        569732.9                            35.3
        3.00                               567389.9                           316.7                             1858.9                            167.5                          2175.5                     569733.0000                        569732.9                            32.2
        4.00                               567371.7                           313.9                             1893.9                            153.4                          2207.7                     569733.0000                        569732.9                            29.6
        5.00                               567353.7                           308.9                             1928.4                            141.8                          2237.3                     569733.0000                        569732.9                            27.4
        6.00                               567335.9                           302.4                             1962.4                            132.0                          2264.8                     569733.0000                        569732.8                            25.6
        7.00                               567318.6                           294.9                             1995.5                            123.6                          2290.4                     569733.0000                        569732.6                            24.0
        8.00                               567301.9                           286.6                             2027.8                            116.4                          2314.4                     569733.0000                        569732.7                            22.7
        9.00                               567285.6                           277.9                             2059.2                            110.0                          2337.1                     569733.0000                        569732.8                            21.5
       10.00                               567269.9                           269.0                             2089.6                            104.3                          2358.6                     569733.0000                        569732.8                            20.4
       11.00                               567254.6                           260.0                             2119.0                             99.2                          2379.0                     569733.0000                        569732.8                            19.4
       12.00                               567239.9                           251.0                             2147.4                             94.6                          2398.4                     569733.0000                        569732.8                            18.5
       13.00                               567225.6                           242.1                             2174.8                             90.3                          2416.9                     569733.0000                        569732.8                            17.7
       14.00                               567211.9                           233.4                             2201.2                             86.4                          2434.5                     569733.0000                        569732.8                            16.9
       15.00                               567198.6                           224.8                             2226.6                             82.7                          2451.5                     569733.0000                        569732.8                            16.2
       16.00                               567185.9                           216.5                             2251.2                             79.2                          2467.7                     569733.0000                        569732.8                            15.5
       17.00                               567173.6                           208.4                             2274.8                             76.0                          2483.2                     569733.0000                        569732.8                            14.9
       18.00                               567161.8                           200.6                             2297.5                             72.9                          2498.1                     569733.0000                        569732.8                            14.3
       19.00                               567150.4                           193.0                             2319.4                             70.0                          2512.4                     569733.0000                        569732.8                            13.7
       20.00                               567139.4                           185.7                             2340.4                             67.2                          2526.1                     569733.0000                        569732.8                            13.2
       21.00                               567128.9                           178.6                             2360.7                             64.5                          2539.3                     569733.0000                        569732.7                            12.7
       22.00                               567118.8                           171.8                             2380.1                             62.0                          2551.9                     569733.0000                        569732.8                            12.2
       23.00                               567109.1                           165.2                             2398.9                             59.6                          2564.1                     569733.0000                        569732.8                            11.7
       24.00                               567099.8                           158.9                             2416.9                             57.2                          2575.8                     569733.0000                        569732.8                            11.2
       25.00                               567090.8                           152.8                             2434.2                             55.0                          2587.0                     569733.0000                        569732.8                            10.8
       26.00                               567082.1                           146.9                             2450.9                             52.9                          2597.8                     569733.0000                        569732.8                            10.4
       27.00                               567073.8                           141.3                             2466.9                             50.8                          2608.2                     569733.0000                        569732.8                            10.0
       28.00                               567065.8                           135.9                             2482.3                             48.9                          2618.1                     569733.0000                        569732.8                             9.6
       29.00                               567058.1                           130.6                             2497.1                             47.0                          2627.7                     569733.0000                        569732.8                             9.2
       30.00                               567050.7                           125.6                             2511.3                             45.1                          2636.9                     569733.0000                        569732.8                             8.9
       31.00                               567043.5                           120.8                             2525.0                             43.4                          2645.8                     569733.0000                        569732.6                             8.5
       32.00                               567036.6                           116.1                             2538.2                             41.7                          2654.3                     569733.0000                        569732.7                             8.2
       33.00                               567030.0                           111.6                             2550.9                             40.1                          2662.5                     569733.0000                        569732.6                             7.9
       34.00                               567023.6                           107.3                             2563.0                             38.6                          2670.4                     569733.0000                        569732.6                             7.6
       35.00                               567017.5                           103.2                             2574.7                             37.1                          2677.9                     569733.0000                        569732.5                             7.3
       36.00                               567011.6                            99.2                             2586.0                             35.6                          2685.2                     569733.0000                        569732.5                             7.0
       37.00                               567006.0                            95.4                             2596.8                             34.3                          2692.2                     569733.0000                        569732.5                             6.7
       38.00                               567000.6                            91.7                             2607.2                             33.0                          2698.9                     569733.0000                        569732.5                             6.5
       39.00                               566995.4                            88.2                             2617.2                             31.7                          2705.4                     569733.0000                        569732.5                             6.2
       40.00                               566990.4                            84.8                             2626.8                             30.5                          2711.6                     569733.0000                        569732.4                             6.0
       41.00                               566985.6                            81.5                             2636.1                             29.3                          2717.6                     569733.0000                        569732.5                             5.7
       42.00                               566980.9                            78.4                             2644.9                             28.2                          2723.3                     569733.0000                        569732.4                             5.5
       43.00                               566976.5                            75.4                             2653.5                             27.1                          2728.9                     569733.0000                        569732.4                             5.3
       44.00                               566972.2                            72.5                             2661.7                             26.0                          2734.2                     569733.0000                        569732.4                             5.1
       45.00                               566968.1                            69.7                             2669.6                             25.0                          2739.3                     569733.0000                        569732.4                             4.9
       46.00                               566964.1                            67.0                             2677.2                             24.1                          2744.2                     569733.0000                        569732.4                             4.7
