# CONTADOR                 ERRO
0000000000001              3.669793E+02
0000000000002              3.597653E+02
0000000000003              3.475733E+02
0000000000004              3.319957E+02
0000000000005              3.142494E+02
0000000000006              2.952607E+02
0000000000007              2.757288E+02
0000000000008              2.561748E+02
0000000000009              2.369795E+02
0000000000010              2.184140E+02
0000000000011              2.006647E+02
0000000000012              1.838518E+02
0000000000013              1.680451E+02
0000000000014              1.532767E+02
0000000000015              1.395497E+02
0000000000016              1.268468E+02
0000000000017              1.151353E+02
0000000000018              1.043727E+02
0000000000019              9.450954E+01
0000000000020              8.549258E+01
0000000000021              7.726659E+01
0000000000022              6.977614E+01
0000000000023              6.296653E+01
0000000000024              5.678495E+01
0000000000025              5.118061E+01
0000000000026              4.610535E+01
0000000000027              4.151392E+01
0000000000028              3.736397E+01
0000000000029              3.361606E+01
0000000000030              3.023372E+01
0000000000031              2.718326E+01
0000000000032              2.443371E+01
0000000000033              2.195671E+01
0000000000034              1.972631E+01
0000000000035              1.771879E+01
0000000000036              1.591257E+01
0000000000037              1.428805E+01
0000000000038              1.282740E+01
0000000000039              1.151446E+01
0000000000040              1.033460E+01
0000000000041              9.274562E+00
0000000000042              8.322390E+00
0000000000043              7.467267E+00
0000000000044              6.699430E+00
0000000000045              6.010079E+00
0000000000046              5.391282E+00
0000000000047              4.835883E+00
0000000000048              4.337446E+00
0000000000049              3.890179E+00
0000000000050              3.488865E+00
0000000000051              3.128816E+00
0000000000052              2.805810E+00
0000000000053              2.516060E+00
0000000000054              2.256158E+00
0000000000055              2.023043E+00
0000000000056              1.813966E+00
0000000000057              1.626456E+00
0000000000058              1.458297E+00
0000000000059              1.307496E+00
0000000000060              1.172269E+00
0000000000061              1.051010E+00
0000000000062              9.422793E-01
0000000000063              8.447855E-01  ESTADO ESTACIONÁRIO ALCANÇADO
  
A SIMULAÇÃO PREDIZ QUE O NÚMERO DE DIAS DA PANDEMIA SERIA:    66.00 DIAS.
