# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-09-30          569733              10192               067                 000258            009888            009630
000001         2020-10-01          569733              10292               100                 000262            010032            009770
000002         2020-10-02          569733              10393               086                 000265            010121            009856
000003         2020-10-03          569733              10512               119                 000265            010124            009859
000004         2020-10-04          569733              10707               195                 000265            010187            009922
000005         2020-10-05          569733              10845               138                 000268            010600            010332
000006         2020-10-06          569733              11015               170                 000270            010777            010507
000007         2020-10-07          569733              11100               085                 000271            010874            010603
000008         2020-10-08          569733              11202               102                 000272            010956            010684
000009         2020-10-09          569733              11272               070                 000274            011030            010756
000010         2020-10-10          569733              11315               043                 000275            011031            010756
000011         2020-10-11          569733              11344               029                 000276            011035            010759
000012         2020-10-12          569733              11380               036                 000279            011039            010760
000013         2020-10-13          569733              11401               021                 000282            011224            010942
