# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-06-18          569733              929                 14                  000056            000700            000644
000001         2020-06-19          569733              997                 68                  000059            000703            000644
000002         2020-06-20          569733              1042                45                  000060            000705            000645
000003         2020-06-21          569733              1070                32                  000040            000685            000645
000004         2020-06-22          569733              1080                10                  000062            000785            000723
000005         2020-06-23          569733              1096                16                  000064            000842            000778
000006         2020-06-24          569733              1130                34                  000066            000921            000855
000007         2020-06-25          569733              1176                46                  000068            000947            000879
000008         2020-06-26          569733              1194                18                  000072            001002            000930
000009         2020-06-27          569733              1257                63                  000075            001008            000933
000010         2020-06-28          569733              1294                37                  000076            001009            000933
000011         2020-06-29          569733              1305                11                  000078            001056            000978
000012         2020-06-30          569733              1336                29                  000081            001092            001011
000013         2020-07-01          569733              1346                10                  000082            001133            001051
