# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-09-17          569733              8330                034                 000224            008103            007879
000001         2020-09-18          569733              8462                132                 000228            008217            007989
000002         2020-09-19          569733              8605                143                 000231            008260            008029
000003         2020-09-20          569733              8691                086                 000234            008287            008053
000004         2020-09-21          569733              8809                118                 000236            008502            008266
000005         2020-09-22          569733              9100                291                 000237            008760            008523
000006         2020-09-23          569733              9281                181                 000242            008997            008755
000007         2020-09-24          569733              9391                110                 000245            009151            008906
000008         2020-09-25          569733              9578                187                 000247            009325            009078
000009         2020-09-26          569733              9768                190                 000249            009343            009094
000010         2020-09-27          569733              9907                139                 000251            009395            009144
000011         2020-09-28          569733              10020               113                 000253            009667            009414
000012         2020-09-29          569733              10125               105                 000255            009805            009550
000013         2020-09-30          569733              10192               067                 000258            009888            009630
