# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-08-22          569733              4670                130                 000156            004192            004036
000001         2020-08-23          569733              4821                151                 000156            004192            004036
000002         2020-08-24          569733              4963                142                 000156            004304            004148
000003         2020-08-25          569733              5068                105                 000158            004646            004488
000004         2020-08-26          569733              5228                160                 000158            004758            004600
000005         2020-08-27          569733              5371                143                 000161            004824            004663
000006         2020-08-28          569733              5536                165                 000162            005043            004881
000007         2020-08-29          569733              5680                144                 000163            005044            004881
000008         2020-08-30          569733              5829                149                 000165            005251            005086
000009         2020-08-31          569733              5896                67                  000168            005352            005184
000010         2020-09-01          569733              6070                174                 000170            005486            005316
000011         2020-09-02          569733              6242                172                 000174            005774            005600
000012         2020-09-03          569733              6394                152                 000179            005903            005724
000013         2020-09-04          569733              6535                141                 000183            006049            005866
