# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-02-07          569733              32953               375                 000605            032416            031811
000001         2021-02-08          569733              33094               141                 000609            032657            032048
000002         2021-02-09          569733              33383               289                 000615            032875            032260
000003         2021-02-10          569733              33688               305                 000624            033163            032539
000004         2021-02-11          569733              34016               328                 000629            033465            032836
000005         2021-02-12          569733              34177               161                 000633            033655            033022
000006         2021-02-13          569733              34377               200                 000637            033793            033156
000007         2021-02-14          569733              34489               112                 000637            033930            033293
000008         2021-02-15          569733              34607               118                 000643            034072            033429
000009         2021-02-16          569733              34729               122                 000648            034199            033551
000010         2021-02-17          569733              34876               147                 000653            034393            033740
000011         2021-02-18          569733              35038               162                 000659            034611            033952
000012         2021-02-19          569733              35286               248                 000662            034860            034198
000013         2021-02-20          569733              35489               203                 000665            035002            034337
