# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-12-30          569733              21549               323                 000431            021250            020819
000001         2020-12-31          569733              21873               324                 000436            021344            020908
000002         2021-01-01          569733              21951               078                 000438            021367            020929
000003         2021-01-02          569733              22248               297                 000443            021882            021439
000004         2021-01-03          569733              22500               252                 000447            021993            021546
000005         2021-01-04          569733              22666               166                 000454            022339            021885
000006         2021-01-05          569733              22972               306                 000457            022633            022176
000007         2021-01-06          569733              23201               229                 000461            022834            022373
000008         2021-01-07          569733              23481               280                 000464            023088            022624
000009         2021-01-08          569733              23722               241                 000472            023295            022823
000010         2021-01-09          569733              23925               203                 000475            023463            022988
000011         2021-01-10          569733              24236               311                 000478            023752            023274
000012         2021-01-11          569733              24400               164                 000481            024006            023525
000013         2021-01-12          569733              24608               208                 000485            024225            023740
