# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-02-20          569733              35489               203                 000665            035002            034337
000001         2021-02-21          569733              35705               216                 000668            035110            034442
000002         2021-02-22          569733              35773               068                 000669            035245            034576
000003         2021-02-23          569733              36072               299                 000672            035443            034771
000004         2021-02-24          569733              36374               302                 000675            035777            035102
000005         2021-02-25          569733              36688               314                 000683            036049            035366
000006         2021-02-26          569733              36991               303                 000691            036360            035669
000007         2021-02-27          569733              37343               352                 000694            036688            035994
000008         2021-02-28          569733              37673               330                 000697            036926            036229
000009         2021-03-01          569733              37876               203                 000701            037184            036483
000010         2021-03-02          569733              38176               300                 000706            037473            036767
000011         2021-03-03          569733              38476               300                 000713            037754            037041
000012         2021-03-04          569733              38738               262                 000720            038035            037315
000013         2021-03-05          569733              38998               260                 000724            038314            037590
