#      TEMPO                            SUSCETÍVEIS                      INFECTADOS                          REMOVIDOS                         EXPOSTOS                      INF. TOTAL                 POP. TOTAL (FI)               POP. TOTAL (SOMA)                     CASOS NOVOS
        0.00                               569098.0                           167.0                              373.0                             95.0                           540.0                     569733.0000                        569733.0                            20.2
        1.00                               569065.4                           168.5                              391.7                            107.4                           560.2                     569733.0000                        569733.0                            22.5
        2.00                               569032.3                           172.0                              410.6                            118.0                           582.7                     569733.0000                        569732.9                            24.5
        3.00                               568998.4                           177.1                              430.1                            127.4                           607.2                     569733.0000                        569733.0                            26.3
        4.00                               568963.5                           183.4                              450.1                            136.0                           633.5                     569733.0000                        569733.0                            28.0
        5.00                               568927.2                           190.6                              470.9                            144.2                           661.5                     569733.0000                        569733.0                            29.7
        6.00                               568889.6                           198.6                              492.6                            152.3                           691.2                     569733.0000                        569733.1                            31.3
        7.00                               568850.2                           207.3                              515.1                            160.4                           722.4                     569733.0000                        569733.0                            32.9
        8.00                               568809.1                           216.6                              538.7                            168.6                           755.3                     569733.0000                        569732.9                            34.6
        9.00                               568766.1                           226.6                              563.3                            176.9                           789.9                     569733.0000                        569732.9                            36.3
       10.00                               568721.2                           237.1                              589.1                            185.6                           826.2                     569733.0000                        569733.0                            38.0
       11.00                               568674.2                           248.1                              616.1                            194.6                           864.2                     569733.0000                        569732.9                            39.9
       12.00                               568625.0                           259.8                              644.3                            203.9                           904.1                     569733.0000                        569732.9                            41.8
       13.00                               568573.5                           272.0                              673.9                            213.6                           945.9                     569733.0000                        569733.0                            43.8
       14.00                               568519.6                           284.8                              704.8                            223.8                           989.6                     569733.0000                        569733.0                            45.8
       15.00                               568463.1                           298.2                              737.2                            234.4                          1035.5                     569733.0000                        569733.1                            48.0
       16.00                               568404.0                           312.3                              771.2                            245.5                          1083.5                     569733.0000                        569733.0                            50.3
       17.00                               568342.1                           327.1                              806.7                            257.1                          1133.8                     569733.0000                        569732.9                            52.7
       18.00                               568277.2                           342.5                              843.9                            269.3                          1186.4                     569733.0000                        569733.0                            55.2
       19.00                               568209.4                           358.7                              882.9                            282.0                          1241.6                     569733.0000                        569733.0                            57.8
       20.00                               568138.3                           375.6                              923.7                            295.3                          1299.4                     569733.0000                        569733.0                            60.5
       21.00                               568063.9                           393.4                              966.5                            309.2                          1359.9                     569733.0000                        569733.1                            63.3
       22.00                               567985.9                           412.0                             1011.2                            323.8                          1423.2                     569733.0000                        569732.9                            66.3
       23.00                               567904.4                           431.4                             1058.1                            339.1                          1489.5                     569733.0000                        569733.1                            69.5
       24.00                               567818.9                           451.8                             1107.2                            355.1                          1559.0                     569733.0000                        569732.9                            72.7
       25.00                               567729.4                           473.1                             1158.6                            371.8                          1631.7                     569733.0000                        569732.9                            76.2
       26.00                               567635.8                           495.4                             1212.5                            389.3                          1707.9                     569733.0000                        569732.9                            79.7
       27.00                               567537.7                           518.8                             1268.8                            407.6                          1787.6                     569733.0000                        569732.9                            83.5
       28.00                               567435.0                           543.2                             1327.9                            426.8                          1871.1                     569733.0000                        569732.9                            87.4
       29.00                               567327.5                           568.8                             1389.7                            446.9                          1958.5                     569733.0000                        569732.9                            91.5
       30.00                               567214.9                           595.6                             1454.4                            467.9                          2050.0                     569733.0000                        569732.9                            95.8
       31.00                               567097.1                           623.7                             1522.2                            489.8                          2145.9                     569733.0000                        569732.9                           100.3
       32.00                               566973.8                           653.0                             1593.2                            512.8                          2246.2                     569733.0000                        569732.8                           105.0
       33.00                               566844.7                           683.8                             1667.5                            536.9                          2351.2                     569733.0000                        569732.8                           110.0
       34.00                               566709.5                           715.9                             1745.3                            562.1                          2461.2                     569733.0000                        569732.8                           115.1
       35.00                               566568.1                           749.6                             1826.7                            588.4                          2576.3                     569733.0000                        569732.8                           120.5
       36.00                               566420.0                           784.8                             1912.0                            616.0                          2696.8                     569733.0000                        569732.8                           126.1
       37.00                               566265.0                           821.6                             2001.3                            644.8                          2822.9                     569733.0000                        569732.8                           132.0
       38.00                               566102.8                           860.2                             2094.8                            675.0                          2955.0                     569733.0000                        569732.8                           138.2
       39.00                               565933.1                           900.5                             2192.7                            706.5                          3093.2                     569733.0000                        569732.8                           144.7
       40.00                               565755.4                           942.8                             2295.1                            739.5                          3237.9                     569733.0000                        569732.8                           151.4
       41.00                               565569.4                           986.9                             2402.4                            774.0                          3389.3                     569733.0000                        569732.8                           158.5
       42.00                               565374.8                          1033.1                             2514.7                            810.1                          3547.8                     569733.0000                        569732.8                           165.9
       43.00                               565171.2                          1081.5                             2632.2                            847.8                          3713.7                     569733.0000                        569732.8                           173.6
       44.00                               564958.2                          1132.1                             2755.3                            887.3                          3887.3                     569733.0000                        569732.8                           181.7
       45.00                               564735.2                          1184.9                             2884.0                            928.6                          4069.0                     569733.0000                        569732.8                           190.1
       46.00                               564502.0                          1240.3                             3018.9                            971.7                          4259.1                     569733.0000                        569732.8                           198.9
       47.00                               564257.9                          1298.1                             3159.9                           1016.8                          4458.1                     569733.0000                        569732.8                           208.2
       48.00                               564002.6                          1358.6                             3307.6                           1063.9                          4666.2                     569733.0000                        569732.8                           217.8
       49.00                               563735.6                          1421.9                             3462.2                           1113.1                          4884.0                     569733.0000                        569732.8                           227.9
       50.00                               563456.2                          1488.0                             3623.9                           1164.6                          5111.9                     569733.0000                        569732.8                           238.4
       51.00                               563164.0                          1557.2                             3793.2                           1218.4                          5350.4                     569733.0000                        569732.8                           249.4
       52.00                               562858.4                          1629.5                             3970.3                           1274.6                          5599.8                     569733.0000                        569732.8                           260.9
       53.00                               562538.8                          1705.0                             4155.7                           1333.3                          5860.7                     569733.0000                        569732.8                           272.9
       54.00                               562204.5                          1784.0                             4349.6                           1394.6                          6133.6                     569733.0000                        569732.7                           285.5
       55.00                               561855.0                          1866.6                             4552.5                           1458.6                          6419.1                     569733.0000                        569732.7                           298.6
       56.00                               561489.6                          1952.8                             4764.8                           1525.5                          6717.6                     569733.0000                        569732.6                           312.2
       57.00                               561107.6                          2043.0                             4986.9                           1595.3                          7029.9                     569733.0000                        569732.7                           326.5
       58.00                               560708.2                          2137.1                             5219.3                           1668.1                          7356.4                     569733.0000                        569732.7                           341.4
       59.00                               560290.8                          2235.5                             5462.3                           1744.2                          7697.8                     569733.0000                        569732.8                           357.0
       60.00                               559854.4                          2338.2                             5716.5                           1823.6                          8054.7                     569733.0000                        569732.7                           373.2
       61.00                               559398.4                          2445.5                             5982.4                           1906.4                          8427.9                     569733.0000                        569732.7                           390.1
       62.00                               558921.8                          2557.5                             6260.5                           1992.8                          8818.0                     569733.0000                        569732.6                           407.8
       63.00                               558424.0                          2674.5                             6551.3                           2082.9                          9225.8                     569733.0000                        569732.8                           426.2
       64.00                               557903.9                          2796.6                             6855.4                           2176.9                          9652.0                     569733.0000                        569732.8                           445.4
