# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2020-09-04          569733              6535                141                 000183            006049            005866
000001         2020-09-05          569733              6717                182                 000186            006111            005925
000002         2020-09-06          569733              6880                163                 000188            006151            005963
000003         2020-09-07          569733              7050                170                 000192            006195            006003
000004         2020-09-08          569733              7172                122                 000196            006530            006334
000005         2020-09-09          569733              7380                208                 000200            006835            006635
000006         2020-09-10          569733              7493                113                 000205            007050            006845
000007         2020-09-11          569733              7619                126                 000211            007389            007178
000008         2020-09-12          569733              7829                210                 000211            007405            007194
000009         2020-09-13          569733              7916                087                 000212            007418            007206
000010         2020-09-14          569733              7993                077                 000214            007724            007510
000011         2020-09-15          569733              8159                166                 000218            007890            007672
000012         2020-09-16          569733              8296                137                 000221            007983            007762
000013         2020-09-17          569733              8330                034                 000224            008103            007879
