# contagem     data                Lon(população)      Lon(confirmados)    Lon(Novos)          Lon(óbitos)        Removidos        Lon(Recup)          
000000         2021-03-05          569733              38998               260                 000724            038314            037590
000001         2021-03-06          569733              39210               212                 000727            038367            037640
000002         2021-03-07          569733              39375               165                 000733            038637            037904
000003         2021-03-08          569733              39619               244                 000743            039003            038260
000004         2021-03-09          569733              39884               265                 000754            039237            038483
000005         2021-03-10          569733              40156               272                 000762            039588            038826
000006         2021-03-11          569733              40430               274                 000774            039887            039113
000007         2021-03-12          569733              40711               281                 000784            040197            039413
000008         2021-03-13          569733              40952               241                 000785            040508            039723
000009         2021-03-14          569733              41274               322                 000788            040751            039963
000010         2021-03-15          569733              41483               209                 000803            040920            040117
000011         2021-03-16          569733              41834               351                 000817            041086            040269
000012         2021-03-17          569733              42038               204                 000826            041519            040693
000013         2021-03-18          569733              42311               273                 000839            041649            040810
