# CONTADOR                 ERRO
0000000000001              7.484534E+02
0000000000002              7.313367E+02
0000000000003              7.073388E+02
0000000000004              6.787252E+02
0000000000005              6.472013E+02
0000000000006              6.140510E+02
0000000000007              5.802345E+02
0000000000008              5.464618E+02
0000000000009              5.132503E+02
0000000000010              4.809691E+02
0000000000011              4.498731E+02
0000000000012              4.201287E+02
0000000000013              3.918371E+02
0000000000014              3.650494E+02
0000000000015              3.397786E+02
0000000000016              3.160113E+02
0000000000017              2.937134E+02
0000000000018              2.728377E+02
0000000000019              2.533264E+02
0000000000020              2.351172E+02
0000000000021              2.181436E+02
0000000000022              2.023373E+02
0000000000023              1.876310E+02
0000000000024              1.739578E+02
0000000000025              1.612530E+02
0000000000026              1.494538E+02
0000000000027              1.385006E+02
0000000000028              1.283364E+02
0000000000029              1.189072E+02
0000000000030              1.101624E+02
0000000000031              1.020540E+02
0000000000032              9.453706E+01
0000000000033              8.756947E+01
0000000000034              8.111229E+01
0000000000035              7.512866E+01
0000000000036              6.958439E+01
0000000000037              6.444768E+01
0000000000038              5.968887E+01
0000000000039              5.528045E+01
0000000000040              5.119685E+01
0000000000041              4.741419E+01
0000000000042              4.391061E+01
0000000000043              4.066552E+01
0000000000044              3.765995E+01
0000000000045              3.487629E+01
0000000000046              3.229812E+01
0000000000047              2.991045E+01
0000000000048              2.769918E+01
0000000000049              2.565129E+01
0000000000050              2.375474E+01
0000000000051              2.199830E+01
0000000000052              2.037173E+01
0000000000053              1.886540E+01
0000000000054              1.747042E+01
0000000000055              1.617857E+01
0000000000056              1.498222E+01
0000000000057              1.387430E+01
0000000000058              1.284833E+01
0000000000059              1.189821E+01
0000000000060              1.101835E+01
0000000000061              1.020352E+01
0000000000062              9.448971E+00
0000000000063              8.750215E+00
0000000000064              8.103128E+00
0000000000065              7.503876E+00
0000000000066              6.948956E+00
0000000000067              6.435072E+00
0000000000068              5.959188E+00
0000000000069              5.518481E+00
0000000000070              5.110380E+00
0000000000071              4.732459E+00
0000000000072              4.382483E+00
0000000000073              4.058379E+00
0000000000074              3.758254E+00
0000000000075              3.480323E+00
0000000000076              3.222946E+00
0000000000077              2.984593E+00
0000000000078              2.763876E+00
0000000000079              2.559482E+00
0000000000080              2.370202E+00
0000000000081              2.194914E+00
0000000000082              2.032595E+00
0000000000083              1.882280E+00
0000000000084              1.743075E+00
0000000000085              1.614171E+00
0000000000086              1.494800E+00
0000000000087              1.384256E+00
0000000000088              1.281883E+00
0000000000089              1.187085E+00
0000000000090              1.099297E+00
0000000000091              1.018002E+00
0000000000092              9.427150E-01
0000000000093              8.729992E-01  ESTADO ESTACIONÁRIO ALCANÇADO
  
A SIMULAÇÃO PREDIZ QUE O NÚMERO DE DIAS DA PANDEMIA SERIA:    96.00 DIAS.
